ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
19037-New Hampton Rural,428,74,242,316,345,59,196,255,0,0,0,0,0,0,0,0,3,2,1,3,80,13,45,58,0.172897196261682,0.565420560747664,0.80607476635514,0.171014492753623,0.568115942028986,0,0,0,0,0,0,0.00700934579439252,0.666666666666667,0.333333333333333,0.186915887850467,0.1625,0.5625,2
19037-Chickasaw North,1154,304,480,784,852,225,358,583,0,0,0,0,11,2,4,6,2,1,1,2,289,76,117,193,0.263431542461005,0.415944540727903,0.738301559792028,0.264084507042254,0.42018779342723,0,0,0,0.00953206239168111,0.181818181818182,0.363636363636364,0.00173310225303293,0.5,0.5,0.250433275563258,0.262975778546713,0.404844290657439,2
19039-MURRAY PRECINCT,714,125,402,527,627,110,353,463,0,0,0,0,11,2,7,9,5,0,5,5,71,13,37,50,0.175070028011204,0.563025210084034,0.878151260504202,0.175438596491228,0.562998405103668,0,0,0,0.015406162464986,0.181818181818182,0.636363636363636,0.00700280112044818,0,1,0.0994397759103641,0.183098591549296,0.52112676056338,3
19039-MIDDLE PRECINCT,494,77,290,367,430,66,248,314,0,0,0,0,9,3,2,5,3,1,2,3,52,7,38,45,0.15587044534413,0.587044534412956,0.870445344129555,0.153488372093023,0.576744186046512,0,0,0,0.0182186234817814,0.333333333333333,0.222222222222222,0.00607287449392713,0.333333333333333,0.666666666666667,0.105263157894737,0.134615384615385,0.730769230769231,3
19039-NORTH PRECINCT,775,121,459,580,694,106,417,523,3,2,0,2,7,3,3,6,6,0,4,4,65,10,35,45,0.156129032258065,0.592258064516129,0.895483870967742,0.152737752161383,0.600864553314121,0.00387096774193548,0.666666666666667,0,0.00903225806451613,0.428571428571429,0.428571428571429,0.00774193548387097,0,0.666666666666667,0.0838709677419355,0.153846153846154,0.538461538461538,3
19039-OSCEOLA 1ST WARD,624,175,265,440,494,141,227,368,2,1,0,1,54,20,4,24,3,1,1,2,71,12,33,45,0.280448717948718,0.424679487179487,0.791666666666667,0.285425101214575,0.459514170040486,0.00320512820512821,0.5,0,0.0865384615384615,0.37037037037037,0.0740740740740741,0.00480769230769231,0.333333333333333,0.333333333333333,0.113782051282051,0.169014084507042,0.464788732394366,3
19039-OSCEOLA 2ND WARD,643,141,321,462,543,108,284,392,1,0,0,0,46,23,5,28,3,1,0,1,50,9,32,41,0.219284603421462,0.499222395023328,0.84447900466563,0.198895027624309,0.523020257826888,0.0015552099533437,0,0,0.0715396578538103,0.5,0.108695652173913,0.00466562986003111,0.333333333333333,0,0.0777604976671851,0.18,0.64,3
19039-WOODBURN PRECINCT,554,122,281,403,497,115,255,370,0,0,0,0,7,2,1,3,2,1,0,1,48,4,25,29,0.220216606498195,0.507220216606498,0.897111913357401,0.231388329979879,0.51307847082495,0,0,0,0.0126353790613718,0.285714285714286,0.142857142857143,0.0036101083032491,0.5,0,0.0866425992779783,0.0833333333333333,0.520833333333333,3
19039-OSCEOLA 3RD WARD,682,167,296,463,548,126,253,379,4,2,2,4,64,27,6,33,6,1,1,2,60,11,34,45,0.244868035190616,0.434017595307918,0.803519061583578,0.22992700729927,0.461678832116788,0.00586510263929619,0.5,0.5,0.093841642228739,0.421875,0.09375,0.00879765395894428,0.166666666666667,0.166666666666667,0.0879765395894428,0.183333333333333,0.566666666666667,3
19041-Waterford/City of Everly,377,45,232,277,323,42,197,239,0,0,0,0,6,0,3,3,2,0,1,1,46,3,31,34,0.119363395225464,0.615384615384615,0.856763925729443,0.130030959752322,0.609907120743034,0,0,0,0.0159151193633952,0,0.5,0.00530503978779841,0,0.5,0.122015915119363,0.0652173913043478,0.673913043478261,4
19041-Summit/Meadow/Sioux,598,77,362,439,470,61,288,349,0,0,0,0,6,1,1,2,5,1,2,3,117,14,71,85,0.12876254180602,0.605351170568562,0.785953177257525,0.129787234042553,0.612765957446809,0,0,0,0.0100334448160535,0.166666666666667,0.166666666666667,0.00836120401337793,0.2,0.4,0.195652173913044,0.11965811965812,0.606837606837607,4
19041-Lake/Freeman,302,66,151,217,259,60,127,187,0,0,0,0,1,0,0,0,1,0,1,1,41,6,23,29,0.218543046357616,0.5,0.857615894039735,0.231660231660232,0.49034749034749,0,0,0,0.0033112582781457,0,0,0.0033112582781457,0,1,0.135761589403974,0.146341463414634,0.560975609756098,4
19041-Lincoln/Clay/Lone Tree/Riverton,733,84,484,568,579,70,384,454,0,0,0,0,8,2,4,6,1,0,1,1,145,12,95,107,0.114597544338336,0.660300136425648,0.789904502046385,0.120898100172712,0.663212435233161,0,0,0,0.0109140518417462,0.25,0.5,0.00136425648021828,0,1,0.197817189631651,0.0827586206896552,0.655172413793103,4
19041-Douglas/Peterson,386,43,250,293,324,35,211,246,0,0,0,0,5,2,2,4,5,0,3,3,52,6,34,40,0.11139896373057,0.647668393782383,0.839378238341969,0.108024691358025,0.651234567901235,0,0,0,0.0129533678756477,0.4,0.4,0.0129533678756477,0,0.6,0.134715025906736,0.115384615384615,0.653846153846154,4
19041-Garfield/Herdland,242,31,161,192,214,27,142,169,0,0,0,0,1,0,1,1,2,1,1,2,25,3,17,20,0.128099173553719,0.665289256198347,0.884297520661157,0.126168224299065,0.663551401869159,0,0,0,0.00413223140495868,0,1,0.00826446280991736,0.5,0.5,0.103305785123967,0.12,0.68,4
19041-Logan/Gillett Grove,296,33,209,242,239,31,161,192,1,0,1,1,3,0,3,3,2,0,1,1,51,2,43,45,0.111486486486486,0.706081081081081,0.807432432432433,0.129707112970711,0.673640167364017,0.00337837837837838,0,1,0.0101351351351351,0,1,0.00675675675675676,0,0.5,0.172297297297297,0.0392156862745098,0.843137254901961,4
19041-Spencer Ward 4,1453,212,893,1105,1224,183,750,933,1,0,1,1,9,0,2,2,12,5,3,8,207,24,137,161,0.145905024088094,0.614590502408809,0.842395044735031,0.149509803921569,0.612745098039216,0.000688231245698555,0,1,0.00619408121128699,0,0.222222222222222,0.00825877494838266,0.416666666666667,0.25,0.142463867859601,0.115942028985507,0.661835748792271,4
19041-Spencer Ward 3,1074,209,595,804,865,164,489,653,1,0,0,0,23,7,10,17,10,4,4,8,175,34,92,126,0.194599627560521,0.554003724394786,0.805400372439479,0.189595375722543,0.565317919075145,0.000931098696461825,0,0,0.021415270018622,0.304347826086957,0.434782608695652,0.00931098696461825,0.4,0.4,0.162942271880819,0.194285714285714,0.525714285714286,4
19041-Spencer Ward 2,1016,215,486,701,857,168,428,596,1,1,0,1,21,11,2,13,7,2,5,7,130,33,51,84,0.211614173228346,0.478346456692913,0.843503937007874,0.196032672112019,0.499416569428238,0.000984251968503937,1,0,0.0206692913385827,0.523809523809524,0.0952380952380952,0.00688976377952756,0.285714285714286,0.714285714285714,0.127952755905512,0.253846153846154,0.392307692307692,4
19041-Spencer Ward 1,893,184,453,637,753,153,390,543,0,0,0,0,31,10,7,17,6,0,6,6,103,21,50,71,0.206047032474804,0.507278835386338,0.843225083986562,0.203187250996016,0.51792828685259,0,0,0,0.0347144456886898,0.32258064516129,0.225806451612903,0.00671892497200448,0,1,0.115341545352744,0.203883495145631,0.485436893203884,4
19041-Spencer Ward 5,1119,211,628,839,931,165,534,699,0,0,0,0,18,7,6,13,13,5,4,9,157,34,84,118,0.188561215370867,0.561215370866845,0.831992850759607,0.177228786251343,0.573576799140709,0,0,0,0.0160857908847185,0.388888888888889,0.333333333333333,0.0116175156389634,0.384615384615385,0.307692307692308,0.140303842716711,0.21656050955414,0.535031847133758,4
19043-Grand Meadow-Marion,380,57,210,267,284,36,161,197,0,0,0,0,11,4,2,6,3,1,2,3,82,16,45,61,0.15,0.552631578947369,0.747368421052632,0.126760563380282,0.566901408450704,0,0,0,0.0289473684210526,0.363636363636364,0.181818181818182,0.00789473684210526,0.333333333333333,0.666666666666667,0.215789473684211,0.195121951219512,0.548780487804878,2
19043-Giard-Monona,1339,248,693,941,1054,202,549,751,2,2,0,2,9,3,3,6,5,1,2,3,269,40,139,179,0.18521284540702,0.517550410754294,0.787154592979836,0.191650853889943,0.520872865275142,0.00149365197908887,1,0,0.00672143390589993,0.333333333333333,0.333333333333333,0.00373412994772218,0.2,0.4,0.200896191187453,0.148698884758364,0.516728624535316,2
19043-Mendon,949,252,405,657,813,217,345,562,6,0,6,6,10,4,2,6,1,0,0,0,119,31,52,83,0.265542676501581,0.426765015806112,0.856691253951528,0.266912669126691,0.424354243542435,0.00632244467860906,0,1,0.0105374077976818,0.4,0.2,0.00105374077976818,0,0,0.125395152792413,0.260504201680672,0.436974789915966,2
19043-Farmersburg-Wagner,506,90,258,348,408,77,203,280,0,0,0,0,4,1,1,2,0,0,0,0,94,12,54,66,0.177865612648221,0.509881422924901,0.806324110671937,0.188725490196078,0.497549019607843,0,0,0,0.00790513833992095,0.25,0.25,0,0,0,0.185770750988142,0.127659574468085,0.574468085106383,2
19043-Clayton-Garnavillo,685,122,392,514,585,105,334,439,0,0,0,0,4,0,1,1,4,2,1,3,92,15,56,71,0.178102189781022,0.572262773722628,0.854014598540146,0.17948717948718,0.570940170940171,0,0,0,0.00583941605839416,0,0.25,0.00583941605839416,0.5,0.25,0.134306569343066,0.16304347826087,0.608695652173913,2
19043-Boardman-Highland-Read,1229,358,528,886,1056,320,449,769,0,0,0,0,7,2,0,2,4,2,2,4,162,34,77,111,0.291293734743694,0.429617575264443,0.859235150528885,0.303030303030303,0.425189393939394,0,0,0,0.00569568755085435,0.285714285714286,0,0.0032546786004882,0.5,0.5,0.131814483319772,0.209876543209877,0.475308641975309,2
19043-Cox Creek-Sperry,472,88,243,331,394,80,197,277,0,0,0,0,3,0,2,2,1,0,1,1,74,8,43,51,0.186440677966102,0.514830508474576,0.834745762711864,0.203045685279188,0.5,0,0,0,0.00635593220338983,0,0.666666666666667,0.00211864406779661,0,1,0.156779661016949,0.108108108108108,0.581081081081081,2
19043-Elk-Mallory-Volga,574,105,295,400,496,89,259,348,0,0,0,0,1,0,1,1,2,0,2,2,75,16,33,49,0.182926829268293,0.513937282229965,0.86411149825784,0.179435483870968,0.522177419354839,0,0,0,0.00174216027874564,0,1,0.00348432055749129,0,1,0.130662020905923,0.213333333333333,0.44,2
19043-Jefferson,1421,347,624,971,1193,288,521,809,10,2,4,6,5,2,3,5,5,2,1,3,208,53,95,148,0.244194229415904,0.439127375087966,0.839549612948628,0.24140821458508,0.436714165968148,0.00703729767769177,0.2,0.4,0.00351864883884588,0.4,0.6,0.00351864883884588,0.4,0.2,0.146375791695989,0.254807692307692,0.456730769230769,2
19043-Cass,854,172,476,648,710,138,393,531,0,0,0,0,8,0,6,6,0,0,0,0,136,34,77,111,0.201405152224824,0.557377049180328,0.831381733021077,0.194366197183099,0.553521126760563,0,0,0,0.00936768149882904,0,0.75,0,0,0,0.159250585480094,0.25,0.566176470588235,2
19043-Lodomillo,349,63,187,250,285,55,156,211,0,0,0,0,0,0,0,0,2,0,0,0,62,8,31,39,0.180515759312321,0.535816618911175,0.816618911174785,0.192982456140351,0.547368421052632,0,0,0,0,0,0,0.00573065902578797,0,0,0.177650429799427,0.129032258064516,0.5,2
19043-Buena Vista-Millville,440,131,169,300,303,79,122,201,0,0,0,0,2,0,0,0,0,0,0,0,135,52,47,99,0.297727272727273,0.384090909090909,0.688636363636364,0.260726072607261,0.402640264026403,0,0,0,0.00454545454545455,0,0,0,0,0,0.306818181818182,0.385185185185185,0.348148148148148,2
19045-Sharon Lost Nation,325,57,146,203,275,51,119,170,0,0,0,0,0,0,0,0,1,0,1,1,49,6,26,32,0.175384615384615,0.449230769230769,0.846153846153846,0.185454545454545,0.432727272727273,0,0,0,0,0,0,0.00307692307692308,0,1,0.150769230769231,0.122448979591837,0.530612244897959,1
19045-Bloomfield Brookfield Delmar,642,144,247,391,532,115,215,330,3,1,0,1,7,3,1,4,1,0,1,1,99,25,30,55,0.224299065420561,0.384735202492212,0.828660436137072,0.216165413533835,0.404135338345865,0.00467289719626168,0.333333333333333,0,0.0109034267912773,0.428571428571429,0.142857142857143,0.00155763239875389,0,1,0.154205607476636,0.252525252525253,0.303030303030303,1
19045-Waterford Charlotte,343,76,159,235,260,53,127,180,0,0,0,0,6,3,2,5,5,2,1,3,72,18,29,47,0.221574344023324,0.463556851311953,0.75801749271137,0.203846153846154,0.488461538461538,0,0,0,0.0174927113702624,0.5,0.333333333333333,0.0145772594752187,0.4,0.2,0.209912536443149,0.25,0.402777777777778,1
19045-Center Twp Deep Creek Goose Lake,844,147,401,548,715,131,348,479,0,0,0,0,8,2,6,8,2,0,1,1,119,14,46,60,0.174170616113744,0.475118483412322,0.847156398104265,0.183216783216783,0.486713286713287,0,0,0,0.00947867298578199,0.25,0.75,0.0023696682464455,0,0.5,0.140995260663507,0.117647058823529,0.38655462184874,1
19045-Elk River Hampshire Andover,850,208,371,579,742,182,326,508,0,0,0,0,5,0,3,3,7,2,3,5,96,24,39,63,0.244705882352941,0.436470588235294,0.872941176470588,0.245283018867925,0.439353099730458,0,0,0,0.00588235294117647,0,0.6,0.00823529411764706,0.285714285714286,0.428571428571429,0.112941176470588,0.25,0.40625,1
