ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
PAULDING-:-TABERNACLE BAPTIST CHURCH,5904,2661,1954,4615,2840,414,1588,2002,2169,2081,88,2169,393,79,92,171,59,8,13,21,443,79,173,252,0.450711382113821,0.330962059620596,0.481029810298103,0.145774647887324,0.559154929577465,0.367378048780488,0.959428307976026,0.0405716920239742,0.0665650406504065,0.201017811704835,0.234096692111959,0.00999322493224932,0.135593220338983,0.220338983050847,0.0750338753387534,0.178329571106095,0.390519187358917,14
PAULDING-:-TAYLOR FARM PARK,1463,510,587,1097,791,71,479,550,410,388,22,410,116,29,17,46,13,1,5,6,133,21,64,85,0.348598769651401,0.40123034859877,0.54066985645933,0.0897597977243995,0.605562579013906,0.280246069719754,0.946341463414634,0.0536585365853659,0.0792891319207109,0.25,0.146551724137931,0.00888585099111415,0.0769230769230769,0.384615384615385,0.0909090909090909,0.157894736842105,0.481203007518797,14
PAULDING-:-THE EVENTS PLACE,1626,1051,308,1359,469,83,239,322,950,921,29,950,105,24,11,35,13,2,3,5,89,21,26,47,0.646371463714637,0.189421894218942,0.288437884378844,0.176972281449893,0.509594882729211,0.584255842558426,0.969473684210526,0.0305263157894737,0.0645756457564576,0.228571428571429,0.104761904761905,0.00799507995079951,0.153846153846154,0.230769230769231,0.0547355473554736,0.235955056179775,0.292134831460674,14
PAULDING-:-WATSON GOVT COMPLEX,4540,1831,1613,3444,2377,279,1342,1621,1507,1444,63,1507,286,45,55,100,31,5,9,14,339,58,144,202,0.403303964757709,0.355286343612335,0.523568281938326,0.117374842238115,0.564577198148927,0.331938325991189,0.958195089581951,0.0418049104180491,0.0629955947136564,0.157342657342657,0.192307692307692,0.00682819383259912,0.161290322580645,0.290322580645161,0.0746696035242291,0.171091445427729,0.424778761061947,14
PAULDING-:-WHITE OAK PARK,8548,2514,3703,6217,5466,555,3140,3695,1850,1763,87,1850,478,86,122,208,71,13,22,35,683,97,332,429,0.294103883949462,0.433200748713149,0.63944782405241,0.101536772777168,0.57446030003659,0.216424894712213,0.952972972972973,0.047027027027027,0.055919513336453,0.179916317991632,0.255230125523013,0.00830603649976603,0.183098591549296,0.309859154929577,0.0799017313991577,0.142020497803807,0.486090775988287,14
PAULDING-:-YORKVILLE BAPTIST CHURCH,3056,597,1490,2087,2253,157,1313,1470,424,398,26,424,146,22,31,53,17,1,4,5,216,19,116,135,0.195353403141361,0.487565445026178,0.737238219895288,0.0696848646249445,0.582778517532179,0.138743455497382,0.938679245283019,0.0613207547169811,0.0477748691099476,0.150684931506849,0.212328767123288,0.00556282722513089,0.0588235294117647,0.235294117647059,0.0706806282722513,0.087962962962963,0.537037037037037,14
PEACH-:-BYRON 1,2088,555,1012,1567,1458,125,886,1011,422,409,13,422,50,3,19,22,8,2,3,5,150,16,91,107,0.265804597701149,0.484674329501916,0.698275862068966,0.0857338820301783,0.607681755829904,0.202107279693487,0.969194312796209,0.0308056872037915,0.0239463601532567,0.06,0.38,0.00383141762452107,0.25,0.375,0.0718390804597701,0.106666666666667,0.606666666666667,2
PEACH-:-BYRON 2,4226,1555,1648,3203,2529,268,1425,1693,1272,1221,51,1272,112,21,26,47,31,5,7,12,282,40,139,179,0.367960246095599,0.389966871746332,0.598438239469948,0.105970739422697,0.563463819691578,0.300993847610033,0.959905660377359,0.0400943396226415,0.0265026029342168,0.1875,0.232142857142857,0.00733554188357785,0.161290322580645,0.225806451612903,0.0667297681022243,0.141843971631206,0.49290780141844,2
PEACH-:-CLAUDE,755,109,405,514,566,33,362,395,68,64,4,68,62,9,9,18,10,1,0,1,49,2,30,32,0.144370860927152,0.536423841059603,0.749668874172185,0.0583038869257951,0.639575971731449,0.0900662251655629,0.941176470588235,0.0588235294117647,0.0821192052980132,0.145161290322581,0.145161290322581,0.0132450331125828,0.1,0,0.0649006622516556,0.0408163265306122,0.612244897959184,2
PEACH-:-FORT VALLEY 1,1798,1087,436,1523,650,106,376,482,961,939,22,961,112,26,13,39,5,1,1,2,70,15,24,39,0.604560622914349,0.242491657397108,0.361512791991101,0.163076923076923,0.578461538461539,0.53448275862069,0.977107180020812,0.0228928199791883,0.0622914349276974,0.232142857142857,0.116071428571429,0.00278086763070078,0.2,0.2,0.0389321468298109,0.214285714285714,0.342857142857143,2
